LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
161	 84.420	 -1	 1	 1-1	 1	 0.010	 0.009	 00161.bin	
162	 84.807	 -1	 1	 1-1	 1	 -0.011	 0.009	 00162.bin	
163	 85.195	 -1	 1	 1-1	 1	 0.009	 -0.004	 00163.bin	
164	 85.581	 -1	 1	 1-1	 1	 0.006	 -0.008	 00164.bin	
165	 85.969	 -1	 1	 1-1	 1	 0.002	 -0.003	 00165.bin	
166	 86.355	 -1	 1	 1-1	 1	 -0.009	 -0.008	 00166.bin	
167	 86.742	 -1	 1	 1-1	 1	 0.007	 -0.009	 00167.bin	
168	 87.129	 -1	 1	 1-1	 1	 0.009	 0.011	 00168.bin	
169	 87.516	 -1	 1	 1-1	 1	 0.000	 -0.006	 00169.bin	
170	 87.903	 -1	 1	 1-1	 1	 0.009	 0.008	 00170.bin	
171	 88.290	 -1	 1	 1-1	 1	 0.006	 0.000	 00171.bin	
172	 88.678	 -1	 1	 1-1	 1	 0.002	 -0.001	 00172.bin	
173	 89.064	 -1	 1	 1-1	 1	 0.022	 0.007	 00173.bin	
174	 89.451	 -1	 1	 1-1	 1	 0.003	 -0.011	 00174.bin	
175	 89.838	 -1	 1	 1-1	 1	 0.040	 -0.006	 00175.bin	
176	 90.225	 -1	 1	 1-1	 1	 -0.004	 -0.006	 00176.bin	
177	 90.612	 -1	 1	 1-1	 1	 0.000	 -0.008	 00177.bin	
178	 90.999	 -1	 1	 1-1	 1	 -0.019	 -0.004	 00178.bin	
179	 91.386	 -1	 1	 1-1	 1	 0.003	 0.002	 00179.bin	
180	 91.773	 -1	 1	 1-1	 1	 0.007	 -0.001	 00180.bin	
181	 92.160	 -1	 1	 1-1	 1	 0.001	 -0.002	 00181.bin	
182	 92.547	 -1	 1	 1-1	 1	 0.007	 -0.002	 00182.bin	
183	 92.934	 -1	 1	 1-1	 1	 -0.000	 -0.001	 00183.bin	
184	 93.321	 -1	 1	 1-1	 1	 -0.002	 -0.001	 00184.bin	
185	 93.708	 -1	 1	 1-1	 1	 0.005	 0.002	 00185.bin	
